1,2.6087,2.9735
1,2.4037,3.6837
1,0.75274,1.4558
1,1.605,0.42185
1,3.1618,2.2859
1,1.9587,2.3502
1,2.5525,1.8474
1,1.0452,0.8107
1,2.0612,3.9154
1,2.5695,-0.1613
1,0.70835,1.3757
1,2.3298,0.7906
1,1.8275,1.3811
1,1.1087,2.2006
1,1.9644,2.1262
1,0.20101,1.13
1,-0.018776,2.5083
1,0.88347,2.4627
1,1.0603,2.5059
1,0.88716,1.4751
1,0.36312,2.8067
1,2.2734,2.6533
1,0.48762,4.1973
1,2.1046,3.0143
1,2.7467,3.1737
1,1.9979,2.0497
1,2.0883,0.79511
1,1.6412,1.6101
1,0.59341,1.1293
1,1.9584,1.4637
-1,5.5267,4.6708
-1,4.4718,4.5943
-1,4.1508,3.6225
-1,4.6117,5.6918
-1,4.8474,5.3973
-1,5.3883,4.9587
-1,4.0963,5.8624
-1,5.301,4.2095
-1,5.074,5.3992
-1,6.2564,5.4681
-1,4.7978,5.3068
-1,4.8724,4.2983
-1,3.8888,5.1847
-1,3.6858,4.3685
-1,5.2946,4.1876
-1,4.7633,3.8392
-1,5.4779,6.0316
-1,4.1531,4.1083
-1,6.8106,5.0382
-1,5.116,3.8734
-1,5.9933,4.8302
-1,4.7847,1.9289
-1,4.8458,3.9581
-1,5.6546,3.7279
-1,5.5272,4.1021
-1,3.9372,4.6808
-1,3.546,4.5317
-1,3.9585,6.7175
-1,3.6569,4.3117
-1,5.0565,4.7705
